Product Label,Satellite Acquisition Date,ARD Generation Date,ARD Re-generation Date
ga_s2am_ard_3-2-1_52KED_2017-01-02_final,02/01/2017,23/08/2022,16/01/2024
ga_s2am_ard_3-2-1_52JFM_2017-01-02_final,02/01/2017,23/08/2022,05/01/2024
ga_s2am_ard_3-2-1_52KHD_2017-01-02_final,02/01/2017,23/08/2022,05/01/2024
ga_s2am_ard_3-2-1_53KKU_2017-01-02_final,02/01/2017,23/08/2022,16/01/2024
ga_s2am_ard_3-2-1_52KGD_2017-01-02_final,02/01/2017,23/08/2022,05/01/2024
ga_s2am_ard_3-2-1_52KFD_2017-01-02_final,02/01/2017,23/08/2022,05/01/2024
ga_s2am_ard_3-2-1_52JDL_2017-01-02_final,02/01/2017,23/08/2022,16/01/2024
ga_s2am_ard_3-2-1_52JBL_2017-01-02_final,02/01/2017,23/08/2022,16/01/2024
ga_s2am_ard_3-2-1_52JEL_2017-01-02_final,02/01/2017,23/08/2022,16/01/2024
ga_s2am_ard_3-2-1_51HYD_2017-01-02_final,02/01/2017,23/08/2022,05/01/2024
